Name,Product,Product Monitoring,Reboot Order,Replicate to PHL
ASPWEBINT1T,LoanCenter,Revenue Systems/Revenue Test/LCC/WEB,,
ASPWEBINT2.MYAPPRO.COM,,,,
ASPWEBSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
ASTRO,Select,Revenue Systems/Revenue Production/Select/WEB,31,Yes
AZSTATEAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AZSTATEAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
AZSTATEAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AZSTATESQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
AZSTATESQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BALANCEPOINT4,,Management/Server/Ghosts,,
BENDER,Select,Revenue Systems/Revenue Production/Select/WEB,31,Yes
BEYONDFTP,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,
BIZTALKVM03P,Action,Revenue Systems/Revenue Production/ACTion/Biz,,Yes
BIZWSL5,Action,Revenue Systems/Revenue Production/ACTion/Web,20,Yes
BIZWSLT2,Action,Revenue Systems/Revenue Production/ACTion/WEB,,
BIZWSLT3,Action,Revenue Systems/Revenue Production/ACTion/WEB,,
BizWSLVM01P,Action,Revenue Systems/Revenue Production/ACTion/Web,20,Yes
BizWSLVM02P,Action,Revenue Systems/Revenue Production/ACTion/Web,20,Yes
BIZWSLVM03P,Action,Revenue Systems/Revenue Production/ACTion/Web,20,Yes
BMWAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWAPP01T2,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWApp02T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWAPP02T2,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWAPP03,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP04,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP05,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP06,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP07,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BMWAPP2008,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWARCHIVE,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
BMWLOAD2008,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,
BMWLOADAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWLOADAPP02T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BMWLOADSQLT2,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BMWNEW,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BMWSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
BMWSQLT3,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BMWTestSQL2,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BOSAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BOSAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BOSAPP03,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BOSSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
BOTWSYNAPP01T,,,,
BREMERSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
BROADWAYAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
BROADWAYAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
BROADWAYSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
BROADWAYSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
BRTFCUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CACOASTCUAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CACOASTCUAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CACOASTCUAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CACOASTCUDOC,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CACOASTCUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CACOASTCUSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
CAMPUSUSAAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CAMPUSUSAAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CAMPUSUSAAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CAMPUSUSAAPP03,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CAMPUSUSACUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CAMPUSUSASQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
CAPONEARCHIVE.MYAPPRO.COM,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
CAPONERPTSQL,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
CARDINALAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CARDINALAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CARDINALSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CCM01,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
CCM02,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
CENTRALBANKAPPT,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CENTRALBANKDOC,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CENTRALBANKSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CENTRALBANKSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
CENTRALBNKAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CENTRALBNKAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CENTRALBNKAPP1T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
CHARTWAYSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CIBMARINEAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CIBMARINEAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
CIBMARINESQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
CISSCHEDULER,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
CitrixLS,Citrix,Revenue Systems/Revenue Production/Citrix/Metaframe,,
CITRIXSQL2,Citrix,Revenue Systems/Revenue Production/Citrix/PS4,,
CITRIXWEB1,Citrix,Revenue Systems/Revenue Production/Citrix/PS4,,
CITRIXWEB2,Citrix,Revenue Systems/Revenue Production/Citrix/PS4,,
CNTRLBANKHAPP1,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
