"VMHost","DVSwitch","DeviceName","MAC"
"ord-vs17.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:12:bc"
"ord-vs17.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:12:b8"
"ord-vs18.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic4","00:0e:1e:33:12:a8"
"ord-vs18.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic5","00:0e:1e:33:12:ac"
"ord-vs18.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic6","00:0e:1e:33:15:a8"
"ord-vs18.ff.p10","dvSwitch-ORD-CNA-Trunk","vmnic7","00:0e:1e:33:15:ac"
"sfcq-vs01.fanatics.corp","dvSwitch-SFCQ_iSCSI","vmnic1","68:05:ca:1e:b4:eb"
"sfcq-vs01.fanatics.corp","dvSwitch-SFCQ_iSCSI","vmnic5","c8:1f:66:d9:d0:5e"
"sfcq-vs01.fanatics.corp","dvSwitch-SFCQ-Trunk","vmnic0","68:05:ca:1e:b4:ea"
"sfcq-vs01.fanatics.corp","dvSwitch-SFCQ-Trunk","vmnic4","c8:1f:66:d9:d0:5c"
"sfcq-vs02.fanatics.corp","dvSwitch-SFCQ-Trunk","vmnic0","68:05:ca:1e:cb:98"
"sfcq-vs02.fanatics.corp","dvSwitch-SFCQ-Trunk","vmnic4","c8:1f:66:d9:de:b9"
"sfcq-vs02.fanatics.corp","dvSwitch-SFCQ_iSCSI","vmnic1","68:05:ca:1e:cb:99"
"sfcq-vs02.fanatics.corp","dvSwitch-SFCQ_iSCSI","vmnic5","c8:1f:66:d9:de:bb"
"sufw-vs01.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic3","c8:1f:66:d9:f8:24"
"sufw-vs01.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic5","68:05:ca:1e:c5:d9"
"sufw-vs01.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic2","c8:1f:66:d9:f8:22"
"sufw-vs01.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic4","68:05:ca:1e:c5:d8"
"sufw-vs02.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic2","c8:1f:66:d9:ee:8a"
"sufw-vs02.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic5","68:05:ca:1e:c6:c3"
"sufw-vs02.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic4","68:05:ca:1e:c6:c2"
"sufw-vs02.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic3","c8:1f:66:d9:ee:8c"
"sufw-vs03.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic4","68:05:ca:1e:c8:f2"
"sufw-vs03.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic3","c8:1f:66:d9:d0:c4"
"sufw-vs03.fanatics.corp","dvSwitch-SUFW-Trunk","vmnic2","c8:1f:66:d9:d0:c2"
"sufw-vs03.fanatics.corp","dvSwitch-SUFW_iSCSI","vmnic5","68:05:ca:1e:c8:f3"
